Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,9.770000,9.900000,9.595000,9.880000,9.880000,3639200
2017-05-25,10.070000,10.100000,9.510000,9.560000,9.560000,4037300
2017-05-26,9.550000,9.560000,9.150000,9.480000,9.480000,5121100
2017-05-30,9.420000,9.770000,9.400000,9.420000,9.420000,3104000
2017-05-31,10.100000,10.400000,9.605000,10.210000,10.210000,10329800
2017-06-01,10.170000,10.250000,9.680000,9.910000,9.910000,6946500
2017-06-02,9.930000,10.240000,9.759000,10.080000,10.080000,4105100
2017-06-05,10.120000,10.120000,9.590000,9.600000,9.600000,4632100
2017-06-06,9.590000,9.940000,9.300000,9.870000,9.870000,5389200
2017-06-07,9.950000,10.220000,9.200000,9.260000,9.260000,8403400
2017-06-08,9.230000,9.330000,9.040000,9.080000,9.080000,4747300
2017-06-09,9.170000,9.250000,8.750000,8.810000,8.810000,8384800
2017-06-12,8.850000,9.280000,8.830000,8.900000,8.900000,6931000
2017-06-13,8.920000,9.820000,8.650000,9.610000,9.610000,15011000
2017-06-14,9.690000,10.540000,9.650000,10.340000,10.340000,13465000
2017-06-15,10.190000,10.400000,9.500000,9.550000,9.550000,9321700
2017-06-16,9.530000,9.540000,9.140000,9.350000,9.350000,5781500
2017-06-19,9.360000,9.715000,9.205000,9.450000,9.450000,5767300
2017-06-20,9.430000,9.430000,9.070000,9.140000,9.140000,4859100
2017-06-21,9.200000,9.220000,8.520000,8.700000,8.700000,8686900
2017-06-22,8.750000,9.020000,8.660000,8.880000,8.880000,5548600
2017-06-23,8.890000,9.600000,8.815000,9.540000,9.540000,11258400
2017-06-26,9.500000,11.269000,9.260000,10.830000,10.830000,32790000
2017-06-27,10.570000,10.940000,10.405000,10.630000,10.630000,12995000
2017-06-28,10.700000,11.285000,10.670000,11.120000,11.120000,9630400
2017-06-29,11.200000,11.790000,11.170000,11.420000,11.420000,8802900
2017-06-30,11.480000,12.100000,11.330000,11.500000,11.500000,7849400
2017-07-03,11.530000,11.760000,11.300000,11.330000,11.330000,2816200
2017-07-05,11.250000,11.380000,10.720000,11.030000,11.030000,5353900
2017-07-06,10.900000,11.486000,10.853000,11.170000,11.170000,5822300
2017-07-07,11.160000,11.690000,11.130000,11.680000,11.680000,4644000
2017-07-10,11.750000,12.070000,11.265000,11.860000,11.860000,4810600
2017-07-11,11.760000,12.540000,11.760000,12.370000,12.370000,9784000
2017-07-12,12.460000,13.100000,12.000000,13.020000,13.020000,9545200
2017-07-13,12.970000,15.340000,12.970000,15.070000,15.070000,24433500
