Date,Open,High,Low,Close,Adj Close,Volume
12-09-2017,62.950001,63.119999,62.150002,62.560001,62.560001,6276600
13-09-2017,62.470001,62.75,61.580002,62.040001,62.040001,6380900
14-09-2017,62.040001,62.369999,61.709999,62.240002,62.240002,5697800
15-09-2017,62.27,62.799999,61.959999,62.5,62.5,9940900
18-09-2017,62.619999,63.529999,62.52,62.919998,62.919998,7688000
19-09-2017,63.009998,63.924999,62.959999,63.830002,63.830002,7774000
20-09-2017,63.990002,64.870003,63.830002,64.739998,64.739998,11903600
21-09-2017,64.669998,64.949997,63.904999,64.629997,64.629997,6727300
22-09-2017,64.330002,65.239998,64.110001,65.080002,65.080002,6743800
25-09-2017,65,65,62.365002,63.5,63.5,13156900
26-09-2017,63.709999,63.762001,62.84,62.939999,62.939999,8551900
27-09-2017,63.41,63.75,63.16,63.330002,63.330002,7380700
28-09-2017,63.619999,64.055,63.110001,63.93,63.93,4148000
29-09-2017,63.860001,64.169998,63.5,64.029999,64.029999,6891300
02-10-2017,64.5,65.120003,64.099998,64.18,64.18,5163300
03-10-2017,64.510002,64.510002,63.761002,64.220001,64.220001,5633100
04-10-2017,64.300003,64.300003,63.689999,64.010002,64.010002,4438800
05-10-2017,64.379997,66,64.220001,65.82,65.82,7445700
06-10-2017,66,66.410004,65.790001,66.050003,66.050003,6122000
09-10-2017,66.199997,66.550003,65.900002,66.230003,66.230003,5517900
10-10-2017,66.599998,66.669998,65.790001,66.040001,66.040001,5831800
11-10-2017,67.25,68.419998,66.980003,67.779999,67.779999,12005600
12-10-2017,68.019997,68.980003,67.805,68.860001,68.860001,8888300
13-10-2017,69.489998,69.610001,68,68.660004,68.660004,8640700
16-10-2017,69.040001,69.199997,67.279999,67.309998,67.309998,9581800
17-10-2017,67.650002,67.669998,66.349998,66.669998,66.669998,10844000
18-10-2017,67.400002,67.5,67,67.260002,67.260002,7994300
19-10-2017,67.300003,67.449997,66.160004,67.25,67.25,14546400
20-10-2017,71.330002,71.730003,69.690002,70.970001,70.970001,34282800
23-10-2017,71.019997,71.330002,69.550003,69.800003,69.800003,12232500
24-10-2017,69.730003,70.565002,69.669998,70.209999,70.209999,12280400
25-10-2017,69.940002,71.419998,69.849998,71.019997,71.019997,12755800
26-10-2017,71.459999,72.07,71.040001,71.339996,71.339996,8015100
27-10-2017,71.720001,71.790001,70.580002,71.059998,71.059998,9256600
30-10-2017,71.449997,71.540001,70.529999,71.150002,71.150002,7216000
31-10-2017,71.339996,72.739998,71.110001,72.559998,72.559998,7555300
01-11-2017,72.779999,72.989998,71.690002,72.379997,72.379997,6655600
02-11-2017,72.459999,72.776001,72.010002,72.25,72.25,4535600
03-11-2017,72.370003,73.410004,71.940002,73.389999,73.389999,6726400
06-11-2017,73.720001,74.760002,73.419998,74.739998,74.739998,10156300
07-11-2017,75.169998,75.449997,74.190002,74.410004,74.410004,7026600
08-11-2017,74,75,73.309998,74.769997,74.769997,7593100
09-11-2017,74.019997,74.199997,72.410004,74.099998,74.099998,8875500
10-11-2017,73.769997,74.139999,73.559998,73.989998,73.989998,5714600
13-11-2017,73.610001,74.290001,73.339996,74.029999,74.029999,5843600
14-11-2017,74.099998,74.82,73.620003,74.489998,74.489998,6281500
15-11-2017,74.300003,74.400002,73.184998,73.43,73.43,6232500
16-11-2017,75.5,77.940002,75.279999,77.699997,77.699997,12856500
17-11-2017,78.010002,78.010002,75.800003,76.379997,76.379997,11886700
20-11-2017,76.599998,77.32,75.879997,76.010002,76.010002,6841800
21-11-2017,77.089996,78.43,76.849998,77.769997,77.769997,10603100
22-11-2017,77.900002,77.989998,76.620003,77.57,77.57,8073500
24-11-2017,77.809998,78.900002,77.699997,78.57,78.57,4306600
27-11-2017,78.629997,79.385002,77.709999,77.839996,77.839996,6780900
28-11-2017,77.949997,78.230003,77.244003,77.790001,77.790001,8741500
29-11-2017,77.949997,77.980003,71.669998,73.25,73.25,25202100
30-11-2017,73.769997,75.870003,73.540001,75.730003,75.730003,15962000
01-12-2017,75.220001,76.440002,74.260002,75.300003,75.300003,13387800
04-12-2017,75.589996,75.744003,68.610001,70.970001,70.970001,26283600
05-12-2017,69.809998,72.75,69.610001,71.199997,71.199997,16634000
06-12-2017,70.889999,73.199997,70.830002,73.139999,73.139999,9331400
07-12-2017,73.25,74.069,73.25,73.690002,73.690002,7937700
08-12-2017,74.709999,74.709999,72.599998,72.910004,72.910004,8350400
11-12-2017,72.959999,73.68,72.559998,73.290001,73.290001,6421900
12-12-2017,73.449997,74.309998,73,73.620003,73.620003,6573500
13-12-2017,74.080002,75.419998,73.769997,74.089996,74.089996,7196400
14-12-2017,74.5,75.529999,74.199997,74.260002,74.260002,7519600
15-12-2017,74.82,75.870003,73.510002,75.650002,75.650002,12543900
18-12-2017,76.300003,76.349998,75.199997,75.32,75.32,8361100
19-12-2017,75.389999,75.389999,73.910004,74.5,74.5,7753100
20-12-2017,74.639999,74.900002,73.760002,74,74,6121300
21-12-2017,74.190002,74.470001,73.800003,74.019997,74.019997,4763900
22-12-2017,73.800003,74.040001,72.900002,73.889999,73.889999,3895000
26-12-2017,73.290001,74.339996,72.629997,74.269997,74.269997,4919100
27-12-2017,74.25,74.93,74,74.589996,74.589996,4461500
28-12-2017,74.959999,75,73.860001,74.169998,74.169998,3810200
29-12-2017,73.919998,74.529999,73.580002,73.620003,73.620003,4496600
02-01-2018,74.235001,74.5,73.43,73.839996,73.839996,7296500
03-01-2018,74.300003,76.849998,74.050003,76.75,76.75,9945400
04-01-2018,77.330002,77.929001,76.260002,76.730003,76.730003,8650000
05-01-2018,77.110001,78.93,77.010002,78.699997,78.699997,11822100
08-01-2018,78.699997,79.18,77.773003,79.050003,79.050003,7963600
09-01-2018,80.099998,80.389999,78.519997,79.190002,79.190002,9620400
10-01-2018,78.5,79.485001,77.699997,79.370003,79.370003,6248600
11-01-2018,79.449997,79.870003,78.910004,79.75,79.75,6267500
12-01-2018,80,80.769997,79.660004,80.540001,80.540001,6891100
16-01-2018,80.949997,81.800003,79.940002,80.419998,80.419998,9596600
17-01-2018,80.400002,82.610001,79.959999,82.470001,82.470001,7146900
18-01-2018,82.43,83.440002,81.610001,82.940002,82.940002,7395100
19-01-2018,83.230003,84.190002,83.127998,83.839996,83.839996,8783500
22-01-2018,84,84.209999,83.220001,83.980003,83.980003,7560500
23-01-2018,84.120003,84.550003,83.449997,84.209999,84.209999,9736400
24-01-2018,84.519997,85.290001,82.709999,83.709999,83.709999,8735700
25-01-2018,84,85.269997,83.709999,84.339996,84.339996,7268300
26-01-2018,84.459999,85.489998,84.040001,85.449997,85.449997,7840300
29-01-2018,85.199997,85.349998,83.620003,84.309998,84.309998,8198900
30-01-2018,83,84.169998,82,83.779999,83.779999,7864500
31-01-2018,84.18,86.32,84.160004,85.32,85.32,15221400
01-02-2018,79.949997,80.949997,76.699997,78.400002,78.400002,44271600
02-02-2018,78.099998,79.620003,76.279999,76.57,76.57,21979800
05-02-2018,75.949997,78.980003,74.68,74.705002,74.705002,18810600
06-02-2018,72.629997,76.514999,72.25,75.68,75.68,19739600
07-02-2018,75.349998,77.580002,74.940002,75.589996,75.589996,11988000
08-02-2018,75.629997,75.910004,72.269997,72.32,72.32,13665400
09-02-2018,73.139999,75.269997,71.629997,74.75,74.75,14339400
12-02-2018,75.489998,76.279999,74.851997,75.279999,75.279999,10419600
13-02-2018,74.809998,75.599998,74.550003,74.970001,74.970001,7743600
14-02-2018,74.18,77.360001,74.129997,77.269997,77.269997,8955800
15-02-2018,78.010002,78.300003,76.580002,78.294998,78.294998,9311000
16-02-2018,78.199997,78.75,77.529999,78.370003,78.370003,9758500
20-02-2018,77.699997,78.540001,76.660004,77.059998,77.059998,6835200
21-02-2018,77.199997,78.496002,77.059998,77.809998,77.809998,2732203
